NAZWA,teryt,teryt_num,OW_NUM,OW,lon,lat
międzychodzki,3014,3014,15,15,16.027086,52.603457
międzyrzecki,803,0803,04,4,15.60665,52.509481
mielecki,1811,1811,09,9,21.390611,50.291724
mikołowski,2408,2408,12,12,18.831558,50.143711
milicki,213,0213,01,1,17.318298,51.517551
miński,1412,1412,07,7,21.660412,52.182315
mławski,1413,1413,07,7,20.363511,53.051343
mogileński,409,0409,02,2,18.071935,52.637941
moniecki,2008,2008,10,10,22.791804,53.410476
mrągowski,2810,2810,14,14,21.365007,53.813264
myślenicki,1209,1209,06,6,19.973881,49.806104
myśliborski,3210,3210,16,16,14.782661,52.86072
myszkowski,2409,2409,12,12,19.307758,50.609898
nakielski,410,0410,02,2,17.579293,53.086747
namysłowski,1606,1606,08,8,17.758782,51.032992
nidzicki,2811,2811,14,14,20.473967,53.364616
niżański,1812,1812,09,9,22.281366,50.470452
nowodworski,1414,1414,07,7,20.677124,52.458447
nowodworski,2210,2210,11,11,19.113178,54.257285
nowomiejski,2812,2812,14,14,19.526409,53.438115
nowosądecki,1210,1210,06,6,20.768497,49.554017
nowosolski,804,0804,04,4,15.746968,51.800883
nowotarski,1211,1211,06,6,20.019913,49.480102
nowotomyski,3015,3015,15,15,16.139723,52.353949
nyski,1607,1607,08,8,17.346544,50.476542
obornicki,3016,3016,15,15,16.842595,52.709927
oławski,215,0215,01,1,17.307486,50.959279
olecki,2813,2813,14,14,22.41414,54.05322
oleski,1608,1608,08,8,18.462215,50.909706
oleśnicki,214,0214,01,1,17.509203,51.263968
olkuski,1212,1212,06,6,19.634824,50.322079
olsztyński,2814,2814,14,14,20.724578,53.817705
opatowski,2606,2606,13,13,21.429879,50.789654
opoczyński,1007,1007,05,5,20.229484,51.381869
opolski,612,0612,03,3,21.979817,51.138977
opolski,1609,1609,08,8,18.052059,50.740764
ostródzki,2815,2815,14,14,19.959848,53.747213
ostrołęcki,1415,1415,07,7,21.50074,53.161652
ostrowiecki,2607,2607,13,13,21.403037,50.94188
ostrowski,1416,1416,07,7,22.009579,52.782243
ostrowski,3017,3017,15,15,17.802978,51.615301
ostrzeszowski,3018,3018,15,15,18.02466,51.450138
oświęcimski,1213,1213,06,6,19.278366,49.981355
otwocki,1417,1417,07,7,21.363754,52.049152
pabianicki,1008,1008,05,5,19.279367,51.671847
pajęczański,1009,1009,05,5,19.03095,51.153466
parczewski,613,0613,03,3,23.003202,51.620004
piaseczyński,1418,1418,07,7,21.019407,52.011324
pilski,3019,3019,15,15,16.956973,53.132538
pińczowski,2608,2608,13,13,20.498011,50.478435
piotrkowski,1010,1010,05,5,19.732196,51.295181
piski,2816,2816,14,14,21.841913,53.661772
pleszewski,3020,3020,15,15,17.811064,51.917551
płocki,1419,1419,07,7,19.839546,52.550044
płoński,1420,1420,07,7,20.354519,52.627577
poddębicki,1011,1011,05,5,18.903697,51.891394
policki,3211,3211,16,16,14.428124,53.566097
polkowicki,216,0216,01,1,15.99417,51.5073
poznański,3021,3021,15,15,17.143661,52.392838
proszowicki,1214,1214,06,6,20.335638,50.202261
prudnicki,1610,1610,08,8,17.703109,50.36788
