wojewodztwo,powiat_miasto,teryt,stan_rekordu_na,liczba_na_10_tys_mieszkancow,liczba_osob_objetych_kwarantanna,liczba_ozdrowiencow,liczba_pozostalych_testow,liczba_przypadkow,liczba_testow_z_wynikiem_negatywnym,liczba_testow_z_wynikiem_pozytywnym,liczba_wykonanych_testow,liczba_zlecen_poz,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych
łódzkie,łowicki,t1005,2021-03-23 00:00:00,6.68,974,29,2,52,140,53,195,163,0,0,0
podkarpackie,lubaczowski,t1809,2021-03-23 00:00:00,1.82,477,12,0,10,57,12,69,67,0,0,0
dolnośląskie,lubański,t0210,2021-03-23 00:00:00,2.77,287,6,1,15,29,20,50,83,0,0,0
lubelskie,lubartowski,t0608,2021-03-23 00:00:00,1.02,316,9,0,9,77,9,86,55,0,0,0
lubelskie,lubelski,t0609,2021-03-23 00:00:00,3.59,870,40,3,56,204,57,264,216,3,0,3
dolnośląskie,lubiński,t0211,2021-03-23 00:00:00,1.7,781,16,1,18,128,21,150,164,0,0,0
lubelskie,Lublin,t0663,2021-03-23 00:00:00,4.59,2087,97,2,156,589,161,752,519,9,0,9
śląskie,lubliniecki,t2407,2021-03-23 00:00:00,1.7,403,21,0,13,76,17,93,106,1,0,1
lubelskie,łukowski,t0611,2021-03-23 00:00:00,2.72,512,28,12,29,124,60,196,79,4,0,4
dolnośląskie,lwówecki,t0212,2021-03-23 00:00:00,3.06,434,4,2,14,68,18,88,51,0,0,0
mazowieckie,makowski,t1411,2021-03-23 00:00:00,2.91,396,7,1,13,43,14,58,71,0,0,0
pomorskie,malborski,t2209,2021-03-23 00:00:00,0.79,705,37,1,5,36,5,42,120,0,0,0
małopolskie,miechowski,t1208,2021-03-23 00:00:00,0.41,382,10,1,2,25,2,28,63,1,1,0
wielkopolskie,międzychodzki,t3014,2021-03-23 00:00:00,2.73,318,6,0,10,70,10,80,49,0,0,0
lubuskie,międzyrzecki,t0803,2021-03-23 00:00:00,3.49,994,36,0,20,94,23,117,140,0,0,0
podkarpackie,mielecki,t1811,2021-03-23 00:00:00,5.27,1279,40,3,72,137,123,263,189,0,0,0
śląskie,mikołowski,t2408,2021-03-23 00:00:00,4.94,1295,67,2,49,99,70,171,271,0,0,0
dolnośląskie,milicki,t0213,2021-03-23 00:00:00,7.04,704,34,2,26,29,31,62,112,0,0,0
mazowieckie,miński,t1412,2021-03-23 00:00:00,6.07,1750,93,40,94,279,164,483,250,0,0,0
mazowieckie,mławski,t1413,2021-03-23 00:00:00,1.1,708,54,1,8,89,10,100,85,2,0,2
kujawsko-pomorskie,mogileński,t0409,2021-03-23 00:00:00,1.1,457,18,0,5,29,5,34,84,2,0,2
podlaskie,moniecki,t2008,2021-03-23 00:00:00,2.98,213,1,0,12,36,12,48,16,0,0,0
warmińsko-mazurskie,mrągowski,t2810,2021-03-23 00:00:00,4.23,434,25,0,21,52,24,76,74,0,0,0
małopolskie,myślenicki,t1209,2021-03-23 00:00:00,1.33,1277,49,0,17,66,18,84,220,3,1,2
zachodniopomorskie,myśliborski,t3210,2021-03-23 00:00:00,2.75,650,36,0,18,92,25,117,96,0,0,0
śląskie,Mysłowice,t2470,2021-03-23 00:00:00,4.02,718,41,3,30,73,33,109,133,1,0,1
śląskie,myszkowski,t2409,2021-03-23 00:00:00,4.53,585,26,5,32,47,34,86,132,3,0,3
kujawsko-pomorskie,nakielski,t0410,2021-03-23 00:00:00,5.33,778,40,2,46,112,52,166,178,2,0,2
opolskie,namysłowski,t1606,2021-03-23 00:00:00,2.81,345,13,1,12,27,17,45,44,0,0,0
warmińsko-mazurskie,nidzicki,t2811,2021-03-23 00:00:00,0.61,296,20,0,2,54,3,57,38,1,0,1
podkarpackie,niżański,t1812,2021-03-23 00:00:00,2.56,722,17,0,17,49,20,69,105,1,0,1
mazowieckie,nowodworski,t1414,2021-03-23 00:00:00,2.52,1154,7,2,20,67,25,94,188,0,0,0
pomorskie,nowodworski,t2210,2021-03-23 00:00:00,1.69,436,10,0,6,26,6,32,51,2,1,1
warmińsko-mazurskie,nowomiejski,t2812,2021-03-23 00:00:00,11.88,624,28,0,52,40,55,95,101,0,0,0
małopolskie,nowosądecki,t1210,2021-03-23 00:00:00,2.81,937,45,1,61,149,67,217,169,4,3,1
lubuskie,nowosolski,t0804,2021-03-23 00:00:00,3.49,967,40,0,30,159,32,191,186,0,0,0
małopolskie,nowotarski,t1211,2021-03-23 00:00:00,1.46,359,11,2,28,157,30,189,62,2,1,1
wielkopolskie,nowotomyski,t3015,2021-03-23 00:00:00,4.23,1010,28,1,32,72,32,105,173,6,0,6
