wojewodztwo,powiat_miasto,teryt,stan_rekordu_na,liczba_na_10_tys_mieszkancow,liczba_osob_objetych_kwarantanna,liczba_ozdrowiencow,liczba_pozostalych_testow,liczba_przypadkow,liczba_testow_z_wynikiem_negatywnym,liczba_testow_z_wynikiem_pozytywnym,liczba_wykonanych_testow,liczba_zlecen_poz,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych
zachodniopomorskie,świdwiński,t3216,2021-01-07 00:00:00,430,,,,20,,,,,0,0,0
lubuskie,świebodziński,t0808,2021-01-07 00:00:00,449,,,,25,,,,,0,0,0
kujawsko-pomorskie,świecki,t0414,2021-01-07 00:00:00,637,,,,63,,,,,1,0,1
śląskie,Świętochłowice,t2476,2021-01-07 00:00:00,365,,,,18,,,,,0,0,0
zachodniopomorskie,Świnoujście,t3263,2021-01-07 00:00:00,294,,,,12,,,,,1,0,1
wielkopolskie,szamotulski,t3024,2021-01-07 00:00:00,567,,,,52,,,,,0,0,0
zachodniopomorskie,Szczecin,t3262,2021-01-07 00:00:00,688,,,,276,,,,,6,0,6
zachodniopomorskie,szczecinecki,t3215,2021-01-07 00:00:00,1098,,,,85,,,,,0,0,0
warmińsko-mazurskie,szczycieński,t2817,2021-01-07 00:00:00,693,,,,48,,,,,0,0,0
pomorskie,sztumski,t2216,2021-01-07 00:00:00,754,,,,31,,,,,0,0,0
mazowieckie,szydłowiecki,t1430,2021-01-07 00:00:00,25,,,,1,,,,,0,0,0
podkarpackie,Tarnobrzeg,t1864,2021-01-07 00:00:00,386,,,,18,,,,,0,0,0
podkarpackie,tarnobrzeski,t1820,2021-01-07 00:00:00,227,,,,12,,,,,0,0,0
śląskie,tarnogórski,t2413,2021-01-07 00:00:00,298,,,,42,,,,,0,0,0
małopolskie,Tarnów,t1263,2021-01-07 00:00:00,92,,,,10,,,,,0,0,0
małopolskie,tarnowski,t1216,2021-01-07 00:00:00,74,,,,15,,,,,0,0,0
małopolskie,tatrzański,t1217,2021-01-07 00:00:00,59,,,,4,,,,,0,0,0
pomorskie,tczewski,t2214,2021-01-07 00:00:00,372,,,,43,,,,,0,0,0
lubelskie,tomaszowski,t0618,2021-01-07 00:00:00,0,,,,0,,,,,0,0,0
łódzkie,tomaszowski,t1016,2021-01-07 00:00:00,207,,,,24,,,,,0,0,0
kujawsko-pomorskie,Toruń,t0463,2021-01-07 00:00:00,602,,,,121,,,,,3,2,1
kujawsko-pomorskie,toruński,t0415,2021-01-07 00:00:00,523,,,,57,,,,,1,0,1
dolnośląskie,trzebnicki,t0220,2021-01-07 00:00:00,246,,,,21,,,,,0,0,0
kujawsko-pomorskie,tucholski,t0416,2021-01-07 00:00:00,352,,,,17,,,,,1,0,1
wielkopolskie,turecki,t3027,2021-01-07 00:00:00,632,,,,53,,,,,1,0,1
śląskie,Tychy,t2477,2021-01-07 00:00:00,181,,,,23,,,,,0,0,0
kujawsko-pomorskie,wąbrzeski,t0417,2021-01-07 00:00:00,235,,,,8,,,,,0,0,0
małopolskie,wadowicki,t1218,2021-01-07 00:00:00,156,,,,25,,,,,0,0,0
wielkopolskie,wągrowiecki,t3028,2021-01-07 00:00:00,142,,,,10,,,,,1,0,1
dolnośląskie,Wałbrzych,t0265,2021-01-07 00:00:00,262,,,,29,,,,,3,2,1
dolnośląskie,wałbrzyski,t0221,2021-01-07 00:00:00,235,,,,13,,,,,1,0,1
zachodniopomorskie,wałecki,t3217,2021-01-07 00:00:00,812,,,,43,,,,,2,0,2
mazowieckie,Warszawa,t1465,2021-01-07 00:00:00,321,,,,575,,,,,8,0,8
mazowieckie,warszawski zachodni,t1432,2021-01-07 00:00:00,402,,,,48,,,,,0,0,0
warmińsko-mazurskie,węgorzewski,t2819,2021-01-07 00:00:00,1286,,,,29,,,,,0,0,0
mazowieckie,węgrowski,t1433,2021-01-07 00:00:00,183,,,,12,,,,,0,0,0
pomorskie,wejherowski,t2215,2021-01-07 00:00:00,677,,,,148,,,,,0,0,0
małopolskie,wielicki,t1219,2021-01-07 00:00:00,69,,,,9,,,,,0,0,0
łódzkie,wieluński,t1017,2021-01-07 00:00:00,158,,,,12,,,,,0,0,0
łódzkie,wieruszowski,t1018,2021-01-07 00:00:00,24,,,,1,,,,,1,0,1
kujawsko-pomorskie,Włocławek,t0464,2021-01-07 00:00:00,366,,,,40,,,,,0,0,0
kujawsko-pomorskie,włocławski,t0418,2021-01-07 00:00:00,256,,,,22,,,,,0,0,0
lubelskie,włodawski,t0619,2021-01-07 00:00:00,209,,,,8,,,,,0,0,0
świętokrzyskie,włoszczowski,t2613,2021-01-07 00:00:00,45,,,,2,,,,,0,0,0
śląskie,wodzisławski,t2415,2021-01-07 00:00:00,134,,,,21,,,,,0,0,0
mazowieckie,wołomiński,t1434,2021-01-07 00:00:00,259,,,,65,,,,,0,0,0
dolnośląskie,wołowski,t0222,2021-01-07 00:00:00,449,,,,21,,,,,0,0,0
wielkopolskie,wolsztyński,t3029,2021-01-07 00:00:00,313,,,,18,,,,,0,0,0
dolnośląskie,Wrocław,t0264,2021-01-07 00:00:00,225,,,,145,,,,,0,0,0
dolnośląskie,wrocławski,t0223,2021-01-07 00:00:00,279,,,,43,,,,,0,0,0
wielkopolskie,wrzesiński,t3030,2021-01-07 00:00:00,730,,,,57,,,,,1,1,0
lubuskie,wschowski,t0812,2021-01-07 00:00:00,155,,,,6,,,,,0,0,0
podlaskie,wysokomazowiecki,t2013,2021-01-07 00:00:00,35,,,,2,,,,,0,0,0
mazowieckie,wyszkowski,t1435,2021-01-07 00:00:00,162,,,,12,,,,,0,0,0
dolnośląskie,ząbkowicki,t0224,2021-01-07 00:00:00,326,,,,21,,,,,0,0,0
śląskie,Zabrze,t2478,2021-01-07 00:00:00,233,,,,40,,,,,6,0,6
lubuskie,żagański,t0810,2021-01-07 00:00:00,140,,,,11,,,,,0,0,0
podlaskie,zambrowski,t2014,2021-01-07 00:00:00,207,,,,9,,,,,0,0,0
lubelskie,zamojski,t0620,2021-01-07 00:00:00,76,,,,8,,,,,0,0,0
lubelskie,Zamość,t0664,2021-01-07 00:00:00,190,,,,12,,,,,0,0,0
lubuskie,żarski,t0811,2021-01-07 00:00:00,271,,,,26,,,,,2,2,0
śląskie,zawierciański,t2416,2021-01-07 00:00:00,85,,,,10,,,,,0,0,0
łódzkie,zduńskowolski,t1019,2021-01-07 00:00:00,151,,,,10,,,,,2,0,2
łódzkie,zgierski,t1020,2021-01-07 00:00:00,265,,,,44,,,,,0,0,0
dolnośląskie,zgorzelecki,t0225,2021-01-07 00:00:00,180,,,,16,,,,,0,0,0
lubuskie,Zielona Góra,t0862,2021-01-07 00:00:00,361,,,,51,,,,,1,0,1
lubuskie,zielonogórski,t0809,2021-01-07 00:00:00,291,,,,22,,,,,1,0,1
dolnośląskie,złotoryjski,t0226,2021-01-07 00:00:00,324,,,,14,,,,,0,0,0
wielkopolskie,złotowski,t3031,2021-01-07 00:00:00,361,,,,25,,,,,1,0,1
kujawsko-pomorskie,żniński,t0419,2021-01-07 00:00:00,999,,,,70,,,,,0,0,0
śląskie,Żory,t2479,2021-01-07 00:00:00,64,,,,4,,,,,0,0,0
mazowieckie,żuromiński,t1437,2021-01-07 00:00:00,287,,,,11,,,,,0,0,0
mazowieckie,zwoleński,t1436,2021-01-07 00:00:00,222,,,,8,,,,,0,0,0
mazowieckie,żyrardowski,t1438,2021-01-07 00:00:00,212,,,,16,,,,,1,0,1
śląskie,żywiecki,t2417,2021-01-07 00:00:00,184,,,,28,,,,,0,0,0
kujawsko-pomorskie,aleksandrowski,t0401,2021-01-06 00:00:00,2.55,205,6,5,14,58,24,87,32,3,1,2
podlaskie,augustowski,t2001,2021-01-06 00:00:00,1.73,277,4,0,10,24,10,34,18,2,0,2
warmińsko-mazurskie,bartoszycki,t2801,2021-01-06 00:00:00,6.15,340,5,0,35,43,36,79,25,3,1,2
śląskie,będziński,t2401,2021-01-06 00:00:00,3.04,537,16,6,45,109,46,161,53,1,0,1
łódzkie,bełchatowski,t1001,2021-01-06 00:00:00,2.4,321,8,3,27,136,27,166,54,0,0,0
lubelskie,Biała Podlaska,t0661,2021-01-06 00:00:00,3.5,180,10,4,20,61,21,86,28,4,1,3
mazowieckie,białobrzeski,t1401,2021-01-06 00:00:00,4.2,195,2,0,14,31,15,46,26,0,0,0
zachodniopomorskie,białogardzki,t3201,2021-01-06 00:00:00,4.22,308,12,4,20,45,20,69,25,0,0,0
podlaskie,białostocki,t2002,2021-01-06 00:00:00,5.72,583,16,1,86,160,88,249,82,2,1,1
lubelskie,bialski,t0601,2021-01-06 00:00:00,2.81,280,5,2,31,74,33,109,44,2,2,0
podlaskie,Białystok,t2061,2021-01-06 00:00:00,5.21,1228,43,9,155,333,163,505,207,4,0,4
podlaskie,bielski,t2003,2021-01-06 00:00:00,3.7,140,2,0,20,53,20,73,13,0,0,0
śląskie,bielski,t2402,2021-01-06 00:00:00,2.41,511,14,7,40,327,41,375,107,1,0,1
śląskie,Bielsko-Biała,t2461,2021-01-06 00:00:00,2.99,553,16,6,51,254,54,314,60,0,0,0
śląskie,bieruńsko-lędziński,t2414,2021-01-06 00:00:00,3.17,149,3,3,19,43,19,65,20,0,0,0
podkarpackie,bieszczadzki,t1801,2021-01-06 00:00:00,0.93,52,0,0,2,25,2,27,3,0,0,0
lubelskie,biłgorajski,t0602,2021-01-06 00:00:00,1.69,192,1,6,17,89,18,113,21,0,0,0
małopolskie,bocheński,t1201,2021-01-06 00:00:00,1.68,215,5,3,18,92,20,115,29,0,0,0
dolnośląskie,bolesławiecki,t0201,2021-01-06 00:00:00,4.22,479,10,4,38,123,39,166,60,4,0,4
warmińsko-mazurskie,braniewski,t2802,2021-01-06 00:00:00,5.13,237,4,0,21,26,22,48,50,2,0,2
kujawsko-pomorskie,brodnicki,t0402,2021-01-06 00:00:00,5.06,428,6,1,40,65,40,106,40,0,0,0
małopolskie,brzeski,t1202,2021-01-06 00:00:00,0.86,164,5,3,8,124,8,135,11,0,0,0
opolskie,brzeski,t1601,2021-01-06 00:00:00,3.01,360,4,0,27,45,27,72,40,1,0,1
łódzkie,brzeziński,t1021,2021-01-06 00:00:00,6.49,123,2,2,20,35,20,57,18,0,0,0
podkarpackie,brzozowski,t1802,2021-01-06 00:00:00,6.41,90,2,0,42,73,43,116,4,0,0,0
świętokrzyskie,buski,t2601,2021-01-06 00:00:00,0.98,115,7,3,7,64,11,78,5,0,0,0
kujawsko-pomorskie,bydgoski,t0403,2021-01-06 00:00:00,9.96,1167,34,6,119,271,129,406,183,2,0,2
kujawsko-pomorskie,Bydgoszcz,t0461,2021-01-06 00:00:00,5.91,2742,114,23,205,694,222,939,443,10,0,10
śląskie,Bytom,t2462,2021-01-06 00:00:00,2.8,448,56,2,46,175,50,227,50,0,0,0
pomorskie,bytowski,t2201,2021-01-06 00:00:00,2.91,270,4,6,23,116,24,146,28,2,0,2
Cały kraj,Cały kraj,t0000,2021-01-06 00:00:00,3.69,165668,4044,1275,14151,45266,15217,61758,19348,553,144,409
lubelskie,Chełm,t0662,2021-01-06 00:00:00,5.2,279,13,1,32,54,32,87,29,0,0,0
kujawsko-pomorskie,chełmiński,t0404,2021-01-06 00:00:00,9.65,398,13,3,50,64,50,117,39,0,0,0
lubelskie,chełmski,t0603,2021-01-06 00:00:00,3.86,314,12,0,30,65,32,97,26,0,0,0
wielkopolskie,chodzieski,t3001,2021-01-06 00:00:00,0.64,149,10,0,3,34,3,37,7,3,1,2
pomorskie,chojnicki,t2202,2021-01-06 00:00:00,2.25,304,20,2,22,82,22,106,45,0,0,0
śląskie,Chorzów,t2463,2021-01-06 00:00:00,3.07,308,10,2,33,97,38,137,45,1,0,1
zachodniopomorskie,choszczeński,t3202,2021-01-06 00:00:00,6.25,336,3,1,30,38,31,70,32,0,0,0
małopolskie,chrzanowski,t1203,2021-01-06 00:00:00,1.21,232,4,0,15,88,16,104,28,0,0,0
mazowieckie,ciechanowski,t1402,2021-01-06 00:00:00,2.91,311,3,7,26,78,26,111,41,2,0,2
śląskie,cieszyński,t2403,2021-01-06 00:00:00,2.19,441,8,1,39,134,40,175,37,0,0,0
wielkopolskie,czarnkowsko-trzcianecki,t3002,2021-01-06 00:00:00,4.14,636,11,4,36,60,38,102,53,0,0,0
śląskie,Częstochowa,t2464,2021-01-06 00:00:00,2.23,587,10,2,49,251,54,307,72,2,0,2
śląskie,częstochowski,t2404,2021-01-06 00:00:00,2.08,352,4,7,28,123,29,159,51,1,0,1
pomorskie,człuchowski,t2203,2021-01-06 00:00:00,5.9,306,3,2,33,53,33,88,41,0,0,0
śląskie,Dąbrowa Górnicza,t2465,2021-01-06 00:00:00,1.51,425,10,1,18,111,18,130,52,2,0,2
małopolskie,dąbrowski,t1204,2021-01-06 00:00:00,1.86,85,0,1,11,41,12,54,8,0,0,0
podkarpackie,dębicki,t1803,2021-01-06 00:00:00,1.48,123,1,1,20,123,22,146,14,3,0,3
zachodniopomorskie,drawski,t3203,2021-01-06 00:00:00,2.46,453,12,2,14,66,17,85,41,0,0,0
warmińsko-mazurskie,działdowski,t2803,2021-01-06 00:00:00,5.39,407,10,1,35,67,36,104,37,2,0,2
dolnośląskie,dzierżoniowski,t0202,2021-01-06 00:00:00,0.1,208,1,2,1,42,1,45,24,1,0,1
warmińsko-mazurskie,Elbląg,t2861,2021-01-06 00:00:00,6.55,1034,29,7,78,89,79,175,168,0,0,0
warmińsko-mazurskie,elbląski,t2804,2021-01-06 00:00:00,7.36,542,10,7,42,63,43,113,52,0,0,0
warmińsko-mazurskie,ełcki,t2805,2021-01-06 00:00:00,4.37,437,18,1,40,109,41,151,31,0,0,0
mazowieckie,garwoliński,t1403,2021-01-06 00:00:00,1.29,253,2,2,14,93,16,111,23,0,0,0
pomorskie,Gdańsk,t2261,2021-01-06 00:00:00,4.77,3536,95,48,225,525,236,809,414,7,0,7
pomorskie,gdański,t2204,2021-01-06 00:00:00,5.03,997,23,11,60,136,61,208,103,5,2,3
pomorskie,Gdynia,t2262,2021-01-06 00:00:00,7.93,1615,57,14,195,247,204,465,216,2,0,2
warmińsko-mazurskie,giżycki,t2806,2021-01-06 00:00:00,9.92,428,10,0,56,57,56,113,45,1,0,1
śląskie,Gliwice,t2466,2021-01-06 00:00:00,4.6,672,17,5,82,223,88,316,108,7,0,7
śląskie,gliwicki,t2405,2021-01-06 00:00:00,5.02,495,10,1,58,141,60,202,72,4,0,4
dolnośląskie,głogowski,t0203,2021-01-06 00:00:00,2.25,297,5,1,20,70,21,92,40,0,0,0
opolskie,głubczycki,t1602,2021-01-06 00:00:00,2.21,175,4,1,10,45,10,56,14,3,0,3
wielkopolskie,gnieźnieński,t3003,2021-01-06 00:00:00,5.43,839,27,4,79,159,84,247,77,3,2,1
warmińsko-mazurskie,gołdapski,t2818,2021-01-06 00:00:00,5.63,144,1,0,15,26,15,41,13,0,0,0
zachodniopomorskie,goleniowski,t3204,2021-01-06 00:00:00,8.25,682,29,7,68,91,73,171,66,0,0,0
kujawsko-pomorskie,golubsko-dobrzyński,t0405,2021-01-06 00:00:00,3.11,149,4,0,14,55,14,69,21,2,0,2
małopolskie,gorlicki,t1205,2021-01-06 00:00:00,1.1,136,3,2,12,90,16,108,9,2,0,2
dolnośląskie,górowski,t0204,2021-01-06 00:00:00,4.03,123,1,0,14,34,14,48,23,0,0,0
lubuskie,Gorzów Wielkopolski,t0861,2021-01-06 00:00:00,5.84,641,19,3,72,211,83,297,86,3,0,3
lubuskie,gorzowski,t0801,2021-01-06 00:00:00,5.83,389,6,3,42,72,47,122,45,1,1,0
mazowieckie,gostyniński,t1404,2021-01-06 00:00:00,0.45,159,3,1,2,43,3,47,25,1,0,1
wielkopolskie,gostyński,t3004,2021-01-06 00:00:00,2.63,252,10,2,20,49,21,72,31,0,0,0
podlaskie,grajewski,t2004,2021-01-06 00:00:00,2.13,122,1,1,10,40,12,53,5,0,0,0
mazowieckie,grodziski,t1405,2021-01-06 00:00:00,4.65,726,21,2,45,105,49,156,71,3,0,3
wielkopolskie,grodziski,t3005,2021-01-06 00:00:00,1.54,250,4,1,8,29,9,39,17,3,1,2
mazowieckie,grójecki,t1406,2021-01-06 00:00:00,5.6,880,26,5,55,107,61,173,83,2,1,1
kujawsko-pomorskie,Grudziądz,t0462,2021-01-06 00:00:00,8.82,798,27,4,83,179,90,273,105,1,0,1
kujawsko-pomorskie,grudziądzki,t0406,2021-01-06 00:00:00,5.22,366,6,2,21,48,22,72,31,1,1,0
zachodniopomorskie,gryficki,t3205,2021-01-06 00:00:00,5.66,411,9,6,34,73,35,114,47,3,0,3
zachodniopomorskie,gryfiński,t3206,2021-01-06 00:00:00,5.76,843,8,1,47,153,48,202,74,1,0,1
podlaskie,hajnowski,t2005,2021-01-06 00:00:00,4.02,135,4,3,17,47,19,69,30,1,0,1
lubelskie,hrubieszowski,t0604,2021-01-06 00:00:00,3.52,218,2,5,22,76,25,106,22,1,0,1
warmińsko-mazurskie,iławski,t2807,2021-01-06 00:00:00,8.51,630,19,7,79,98,79,184,58,0,0,0
kujawsko-pomorskie,inowrocławski,t0407,2021-01-06 00:00:00,7.85,980,13,5,125,140,133,278,123,2,0,2
lubelskie,janowski,t0605,2021-01-06 00:00:00,3.3,80,5,2,15,27,15,44,9,0,0,0
wielkopolskie,jarociński,t3006,2021-01-06 00:00:00,1.4,240,6,1,10,77,10,88,18,0,0,0
podkarpackie,jarosławski,t1804,2021-01-06 00:00:00,4.5,310,3,1,54,190,66,257,23,0,0,0
podkarpackie,jasielski,t1805,2021-01-06 00:00:00,6.62,164,4,2,75,127,76,205,21,2,0,2
śląskie,Jastrzębie-Zdrój,t2467,2021-01-06 00:00:00,2.71,185,5,4,24,80,27,111,34,0,0,0
dolnośląskie,jaworski,t0205,2021-01-06 00:00:00,2.4,154,0,2,12,32,15,49,14,0,0,0
śląskie,Jaworzno,t2468,2021-01-06 00:00:00,1.87,264,6,0,17,75,17,92,42,0,0,0
świętokrzyskie,jędrzejowski,t2602,2021-01-06 00:00:00,1.53,187,6,4,13,73,14,91,11,1,0,1
dolnośląskie,Jelenia Góra,t0261,2021-01-06 00:00:00,0.76,215,7,1,6,122,6,129,24,0,0,0
dolnośląskie,jeleniogórski,t0206,2021-01-06 00:00:00,1.1,180,4,1,7,90,9,100,19,1,0,1
wielkopolskie,kaliski,t3007,2021-01-06 00:00:00,2.17,229,4,3,18,78,19,100,19,0,0,0
wielkopolskie,Kalisz,t3061,2021-01-06 00:00:00,1.6,242,3,1,16,59,17,77,20,0,0,0
dolnośląskie,kamiennogórski,t0207,2021-01-06 00:00:00,0.46,66,0,0,2,45,3,48,6,0,0,0
zachodniopomorskie,kamieński,t3207,2021-01-06 00:00:00,5.55,380,8,3,26,34,26,63,28,1,0,1
pomorskie,kartuski,t2205,2021-01-06 00:00:00,2.91,832,24,4,41,113,43,160,99,0,0,0
śląskie,Katowice,t2469,2021-01-06 00:00:00,4.35,953,20,10,127,341,137,488,140,6,1,5
świętokrzyskie,kazimierski,t2603,2021-01-06 00:00:00,1.19,76,2,2,4,35,5,42,3,0,0,0
opolskie,kędzierzyńsko-kozielski,t1603,2021-01-06 00:00:00,2.35,318,19,0,22,84,23,107,36,1,0,1
wielkopolskie,kępiński,t3008,2021-01-06 00:00:00,1.95,212,5,0,11,43,12,55,23,0,0,0
warmińsko-mazurskie,kętrzyński,t2808,2021-01-06 00:00:00,5.64,361,4,0,35,41,35,76,47,0,0,0
świętokrzyskie,Kielce,t2661,2021-01-06 00:00:00,1.85,277,13,19,36,195,41,255,50,5,0,5
świętokrzyskie,kielecki,t2604,2021-01-06 00:00:00,2.13,290,10,18,45,193,50,261,36,2,0,2
śląskie,kłobucki,t2406,2021-01-06 00:00:00,2.25,206,6,1,19,102,21,124,16,0,0,0
dolnośląskie,kłodzki,t0208,2021-01-06 00:00:00,0.64,352,4,2,10,66,12,80,37,3,0,3
opolskie,kluczborski,t1604,2021-01-06 00:00:00,4.29,201,4,1,28,56,31,88,12,1,0,1
podkarpackie,kolbuszowski,t1806,2021-01-06 00:00:00,10.45,62,2,1,65,89,73,163,6,0,0,0
podlaskie,kolneński,t2006,2021-01-06 00:00:00,0,90,1,1,0,20,0,21,7,1,0,1
zachodniopomorskie,kołobrzeski,t3208,2021-01-06 00:00:00,5.29,646,12,5,42,114,46,165,83,0,0,0
wielkopolskie,kolski,t3009,2021-01-06 00:00:00,1.85,196,3,0,16,75,16,91,24,1,0,1
świętokrzyskie,konecki,t2605,2021-01-06 00:00:00,2.39,149,2,5,19,134,21,160,7,1,0,1
wielkopolskie,Konin,t3062,2021-01-06 00:00:00,3.14,307,3,3,23,45,26,74,49,3,0,3
wielkopolskie,koniński,t3010,2021-01-06 00:00:00,1.38,447,13,1,18,88,20,109,41,3,0,3
wielkopolskie,kościański,t3011,2021-01-06 00:00:00,2.78,386,9,2,22,100,30,132,45,1,1,0
pomorskie,kościerski,t2206,2021-01-06 00:00:00,2.61,341,7,6,19,84,20,110,31,2,1,1
zachodniopomorskie,Koszalin,t3261,2021-01-06 00:00:00,4.49,861,18,3,48,169,52,224,115,4,0,4
zachodniopomorskie,koszaliński,t3209,2021-01-06 00:00:00,2.26,479,7,5,15,76,15,96,66,1,0,1
mazowieckie,kozienicki,t1407,2021-01-06 00:00:00,5.35,296,2,0,32,92,34,126,28,0,0,0
małopolskie,Kraków,t1261,2021-01-06 00:00:00,2.75,3373,56,16,215,684,224,924,312,10,9,1
małopolskie,krakowski,t1206,2021-01-06 00:00:00,3.03,727,20,6,85,214,88,308,88,5,5,0
opolskie,krapkowicki,t1605,2021-01-06 00:00:00,0.31,154,4,2,2,61,4,67,14,0,0,0
lubelskie,kraśnicki,t0607,2021-01-06 00:00:00,2.63,255,6,0,25,76,28,104,41,1,1,0
lubelskie,krasnostawski,t0606,2021-01-06 00:00:00,5.24,352,11,0,33,66,33,99,24,2,2,0
lubuskie,krośnieński,t0802,2021-01-06 00:00:00,1.28,373,1,1,7,36,9,46,27,0,0,0
podkarpackie,krośnieński,t1807,2021-01-06 00:00:00,4.1,102,4,2,46,71,48,121,8,1,0,1
podkarpackie,Krosno,t1861,2021-01-06 00:00:00,4.33,59,1,0,20,33,21,54,12,0,0,0
wielkopolskie,krotoszyński,t3012,2021-01-06 00:00:00,2.33,324,6,4,18,60,18,82,28,1,0,1
łódzkie,kutnowski,t1002,2021-01-06 00:00:00,5.62,490,6,0,54,110,55,165,49,0,0,0
pomorskie,kwidzyński,t2207,2021-01-06 00:00:00,3.61,549,10,1,30,81,33,115,51,1,0,1
podkarpackie,łańcucki,t1810,2021-01-06 00:00:00,1.48,189,4,0,12,81,15,96,21,3,0,3
łódzkie,łaski,t1003,2021-01-06 00:00:00,1.61,151,3,1,8,60,8,69,19,1,0,1
pomorskie,lęborski,t2208,2021-01-06 00:00:00,1.06,211,5,2,7,59,9,70,22,3,0,3
łódzkie,łęczycki,t1004,2021-01-06 00:00:00,3.43,331,6,3,17,64,18,85,32,0,0,0
lubelskie,łęczyński,t0610,2021-01-06 00:00:00,6.46,270,2,1,37,53,39,93,25,2,0,2
mazowieckie,legionowski,t1408,2021-01-06 00:00:00,3.86,738,23,2,46,107,47,156,92,1,0,1
dolnośląskie,Legnica,t0262,2021-01-06 00:00:00,2.32,384,1,7,23,84,25,116,30,1,1,0
dolnośląskie,legnicki,t0209,2021-01-06 00:00:00,2.9,145,3,1,16,40,17,58,10,0,0,0
podkarpackie,leski,t1821,2021-01-06 00:00:00,0,55,0,0,0,22,0,22,8,0,0,0
wielkopolskie,leszczyński,t3013,2021-01-06 00:00:00,1.22,202,0,0,7,53,7,60,19,0,0,0
wielkopolskie,Leszno,t3063,2021-01-06 00:00:00,2.68,256,8,2,17,78,19,99,19,0,0,0
podkarpackie,leżajski,t1808,2021-01-06 00:00:00,1.3,112,2,2,9,61,11,74,16,2,0,2
warmińsko-mazurskie,lidzbarski,t2809,2021-01-06 00:00:00,5.36,210,6,0,22,22,23,45,24,1,0,1
małopolskie,limanowski,t1207,2021-01-06 00:00:00,0.98,158,1,5,13,120,15,140,12,0,0,0
kujawsko-pomorskie,lipnowski,t0408,2021-01-06 00:00:00,3.66,287,7,1,24,58,26,85,37,1,0,1
mazowieckie,lipski,t1409,2021-01-06 00:00:00,1.48,92,0,1,5,29,5,35,5,0,0,0
zachodniopomorskie,łobeski,t3218,2021-01-06 00:00:00,3.29,312,8,0,12,38,14,52,22,4,0,4
łódzkie,Łódź,t1061,2021-01-06 00:00:00,5.95,3842,109,47,403,1215,434,1696,520,44,0,44
łódzkie,łódzki wschodni,t1006,2021-01-06 00:00:00,5.25,466,14,3,38,108,41,152,50,3,0,3
podlaskie,Łomża,t2062,2021-01-06 00:00:00,2.23,271,4,1,14,52,15,68,27,0,0,0
podlaskie,łomżyński,t2007,2021-01-06 00:00:00,0.79,213,3,3,4,39,4,46,20,1,1,0
mazowieckie,łosicki,t1410,2021-01-06 00:00:00,1.63,73,1,0,5,19,6,25,8,1,0,1
łódzkie,łowicki,t1005,2021-01-06 00:00:00,4.5,226,4,1,35,103,38,142,31,0,0,0
podkarpackie,lubaczowski,t1809,2021-01-06 00:00:00,4,246,3,0,22,55,27,82,17,0,0,0
dolnośląskie,lubański,t0210,2021-01-06 00:00:00,2.22,245,2,5,12,45,16,66,20,0,0,0
lubelskie,lubartowski,t0608,2021-01-06 00:00:00,0.68,194,2,1,6,49,7,57,21,0,0,0
lubelskie,lubelski,t0609,2021-01-06 00:00:00,2.5,607,17,0,39,152,43,195,86,1,0,1
dolnośląskie,lubiński,t0211,2021-01-06 00:00:00,1.23,268,7,2,13,95,16,113,31,4,0,4
lubelskie,Lublin,t0663,2021-01-06 00:00:00,4.12,1355,44,7,140,417,157,581,205,8,2,6
śląskie,lubliniecki,t2407,2021-01-06 00:00:00,2.36,232,7,2,18,94,27,123,26,3,1,2
lubelskie,łukowski,t0611,2021-01-06 00:00:00,0.56,174,4,0,6,79,12,91,24,1,1,0
dolnośląskie,lwówecki,t0212,2021-01-06 00:00:00,2.84,121,4,3,13,95,13,111,20,1,1,0
mazowieckie,makowski,t1411,2021-01-06 00:00:00,1.57,200,4,0,7,21,7,28,20,0,0,0
pomorskie,malborski,t2209,2021-01-06 00:00:00,12.14,454,22,9,77,57,77,143,35,0,0,0
małopolskie,miechowski,t1208,2021-01-06 00:00:00,2.26,59,3,3,11,44,12,59,11,0,0,0
wielkopolskie,międzychodzki,t3014,2021-01-06 00:00:00,1.91,162,7,2,7,28,9,39,14,3,3,0
lubuskie,międzyrzecki,t0803,2021-01-06 00:00:00,1.39,275,8,3,8,82,9,94,40,1,1,0
podkarpackie,mielecki,t1811,2021-01-06 00:00:00,4.17,223,9,1,57,140,72,213,25,0,0,0
śląskie,mikołowski,t2408,2021-01-06 00:00:00,3.53,309,6,6,35,85,35,126,32,3,0,3
dolnośląskie,milicki,t0213,2021-01-06 00:00:00,2.71,159,0,0,10,35,10,45,12,0,0,0
mazowieckie,miński,t1412,2021-01-06 00:00:00,1.16,668,10,8,18,111,19,138,72,2,1,1
mazowieckie,mławski,t1413,2021-01-06 00:00:00,0.41,354,2,0,3,25,3,28,29,0,0,0
kujawsko-pomorskie,mogileński,t0409,2021-01-06 00:00:00,3.95,208,10,1,18,35,20,56,23,0,0,0
podlaskie,moniecki,t2008,2021-01-06 00:00:00,3.23,112,0,1,13,34,13,48,3,0,0,0
warmińsko-mazurskie,mrągowski,t2810,2021-01-06 00:00:00,6.04,236,2,0,30,30,32,62,36,1,1,0
małopolskie,myślenicki,t1209,2021-01-06 00:00:00,1.49,209,2,2,19,80,19,101,14,0,0,0
