"";"teryt";"powiaty";"Ludność..Population";"ludnosc.na.1km2"
"278";"2468";"   Jaworzno";91115;597
"279";"2469";"   Katowice";292774;1778
"280";"2470";"   Mysłowice";74618;1137
"281";"2471";"   Piekary Śląskie";55030;1376
"282";"2472";"   Ruda Śląska";137360;1767
"283";"2473";"   Rybnik";138098;931
"284";"2474";"   Siemianowice Śląskie";66841;2621
"285";"2475";"   Sosnowiec";199974;2196
"286";"2476";"   Świętochłowice";49557;3723
"287";"2477";"   Tychy";127590;1560
"288";"2478";"   Zabrze";172360;2144
"289";"2479";"   Żory";62472;966
"290";"2601";"   buski";71596;74
"291";"2602";"   jędrzejowski";85379;68
"292";"2603";"   kazimierski";33619;80
"293";"2604";"   kielecki";211259;94
"294";"2605";"   konecki";79858;70
"295";"2606";"   opatowski";52089;57
"296";"2607";"   ostrowiecki";108964;177
"297";"2608";"   pińczowski";38926;64
"298";"2609";"   sandomierski";77017;114
"299";"2610";"   skarżyski";73991;187
"300";"2611";"   starachowicki";89576;171
"301";"2612";"   staszowski";71776;78
"302";"2613";"   włoszczowski";45059;50
"303";"2661";"   Kielce";194852;1777
"304";"2801";"   bartoszycki";57231;44
"305";"2802";"   braniewski";41034;34
"306";"2803";"   działdowski";65139;68
"307";"2804";"   elbląski";57211;40
"308";"2805";"   ełcki";91560;82
"309";"2806";"   giżycki";56565;51
"310";"2818";"   gołdapski";26689;35
"311";"2807";"   iławski";92879;67
"312";"2808";"   kętrzyński";62283;51
"313";"2809";"   lidzbarski";41180;45
"314";"2810";"   mrągowski";49762;47
"315";"2811";"   nidzicki";32857;34
"316";"2812";"   nowomiejski";43822;63
"317";"2813";"   olecki";34148;39
"318";"2814";"   olsztyński";126781;45
"319";"2815";"   ostródzki";104151;59
"320";"2816";"   piski";56135;32
"321";"2817";"   szczycieński";69376;36
"322";"2819";"   węgorzewski";22638;33
"323";"2861";"   Elbląg";119317;1495
"324";"2862";"   Olsztyn";171979;1947
"325";"3001";"   chodzieski";47055;69
"326";"3002";"   czarnkowsko-trzcianecki";86990;48
"327";"3003";"   gnieźnieński";145418;116
"328";"3004";"   gostyński";75908;94
"329";"3005";"   grodziski";51893;81
"330";"3006";"   jarociński";71563;122
"331";"3007";"   kaliski";83026;72
"332";"3008";"   kępiński";56451;93
"333";"3009";"   kolski";86727;86
"334";"3010";"   koniński";130053;82
"335";"3011";"   kościański";79183;110
"336";"3012";"   krotoszyński";77274;108
"337";"3013";"   leszczyński";57201;71
"338";"3014";"   międzychodzki";36751;50
"339";"3015";"   nowotomyski";75543;75
"340";"3016";"   obornicki";59825;84
"341";"3017";"   ostrowski";161581;139
"342";"3018";"   ostrzeszowski";55500;72
"343";"3019";"   pilski";136112;107
"344";"3020";"   pleszewski";63014;88
"345";"3021";"   poznański";399272;210
"346";"3022";"   rawicki";60262;109
"347";"3023";"   słupecki";59077;70
"348";"3024";"   szamotulski";91664;82
"349";"3025";"   średzki";58879;94
"350";"3026";"   śremski";61425;107
"351";"3027";"   turecki";83894;90
"352";"3028";"   wągrowiecki";70233;68
"353";"3029";"   wolsztyński";57446;85
"354";"3030";"   wrzesiński";77994;111
"355";"3031";"   złotowski";69433;42
"356";"3061";"   Kalisz";100246;1444
"357";"3062";"   Konin";73522;893
"358";"3063";"   Leszno";63505;1993
"359";"3064";"   Poznań";534813;2042
"360";"3201";"   białogardzki";47560;56
"361";"3202";"   choszczeński";48243;36
"362";"3203";"   drawski";57015;32
"363";"3204";"   goleniowski";82421;51
"364";"3205";"   gryficki";60277;59
"365";"3206";"   gryfiński";81882;44
"366";"3207";"   kamieński";46999;47
"367";"3208";"   kołobrzeski";79438;110
"368";"3209";"   koszaliński";66480;40
"369";"3218";"   łobeski";36696;34
"370";"3210";"   myśliborski";65638;56
